id,text
1,"@realDonaldTrump New game: If @realDonaldTrump had a Trump style nickname what would that be?
I think ""Pervy Don"" would suit him.
Any other proposals?
#USElections2020 #Trump #Biden"
2,#Iowa Poll: Donald #Trump takes over lead in Iowa as Joe #Biden fades... https://t.co/aDmHbUKI9d
3,"Joe #Biden Slams #Netflix &amp; #Amazon On #Taxes, Again https://t.co/oN9pFFyo2a"
4,N.Y. attorney general developing 'long' list of #Trump actions for #Biden to undo... https://t.co/tmgOdbleVW
5,Did you #VoteEarly or will you #VOTE on #ElectionDay? #Trump #Biden | https://t.co/A1Qj8NLfs9
6,#ELECTION2020: California Gov. Newsome coming to Nevada to campaign for #Biden. https://t.co/wgwXknRgSR
7,B is for #Biden  vote #BidenHarrisToSaveAmerica https://t.co/fWO36Igg7d
8,"@benleemusic @darrenhayes #Biden wins decisively on Tuesday.
#Biden wins decisively on Tuesday. 
#Biden wins...... Havya..... Yet."
9,"Democracy argument. Biden supporters ignore the Woke and SJ culture &amp; their attempts to erode #1A and other rights. Who is more likely the Third Reich &amp; erode Democracy?
#Trump #Biden https://t.co/lRO8bhd02i"
10,"Out if this ¡®crowd¡¯, I wonder how many were there just to buy a car ... <U+0001F602> <U+0001F602> <U+0001F606> <U+0001F602> #MAGA #KAG #Trump2020 #Biden https://t.co/Eq9SYENt86"
11,What's with #Biden 's Weekend at Bernie's look lately... https://t.co/DNLKanVxhp
12,"Is that, like, every single resident of Butler? <U+0001F601><U+0001F44C><U+0001F3FB> 

#PA #Pennsylvania #Biden<U+0001F44E><U+0001F3FB> #Pennsylvania2020 #PAForTrump https://t.co/NcNR5iETdi"
13,"That¡¯s because you¡¯re not appealing on your own, #BeijingJoe. <U+0001F644>

Pray no real reporter asks you about #TonyBobulinski &amp; Hunter¡¯s #LaptopFromHell emails. 

#Biden<U+0001F44E><U+0001F3FB> #BidenHarris<U+0001F44E><U+0001F3FB> #swamp #SaturdayMotivation #Saturday #SaturdayThoughts #Trump2020 https://t.co/43W7EkrGex"
14,"Four days til the #BidenCrimeFamiIy is off the national stage forever, thank God, except for the occasional FBI indictments &amp; updates. 

#TonyBobulinski #BidenHarris<U+0001F44E><U+0001F3FB> #Biden<U+0001F44E><U+0001F3FB> #Trump2020 #FridayNight #SaturdayMorning https://t.co/V5d5Q4mylR"
15,"<U+0001F534> Watch LIVE: President Trump Holds Make America Great Again Rally in Reading, #PA

#SaturdayMotivation #SaturdayVibes #SaturdayThoughts #Saturday #MAGA #AmericaFirst #Biden<U+0001F44E><U+0001F3FB>

https://t.co/7dfrDR4kho via @YouTube"
16,"Sounds like #Biden¡¯s expecting #Trump to win #FL. Good bet. 

#Trump2020 https://t.co/t9jXU8zeX8"
