id,text
1,"@robdelaney Found Trump a new career! Get Him OUT #gethimout #trump #biden #Election2020 
https://t.co/BDAxAZQzik"
2,"#Pennsylvania.. your #taxcuts become #taxhikes in 2021, buried in the 2017 Tax Cuts and Jobs Act. Read it for yourself: those making $10-30,000 will pay higher #taxes in 2027 than 2019 &amp; it's the #Trump admin you can thank. #TrumpTrain #TrumpTrain2020

https://t.co/xxVJZLG9ai"
3,"@GregoryBuster1 @kenolin1 I'm beyond arguing is/she isn't/she (that's obviously not her).

The questions -- that will never be adequately asked / answered -- are 1) how sick is @FLOTUS &amp; 2) how stupid does #Trump et al think #Americans are?! 

Wait. I think we know the answer to #2."
4,Obama says Trump treating presidency like a reality show #Obama #says #Trump #treating #presidency #like #realityshow #sotrue #fact https://t.co/pntCFDN0Ch
5,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/HDfFt4AgIg
6,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/JxXfH2stt3
7,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/XF9Bcf3jfY
8,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/rH07vP1c4Y
9,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/bQqry08GrP
10,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/Aj9Pxn1IpB
11,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/y1mFsRevOx
12,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/QakEDEh7is
13,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/u4R6zssdmj
14,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/pMKEYmxMMP
15,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/mlQXHrfcdT
16,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/ej4d0LNxTq
17,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/gjgd2vvWqU
18,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/DZZfX0AIdl
19,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/3OmYeVPbSB
20,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/7QxkOdpZxv
21,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/EN4WEs0GuU
22,@realDonaldTrump Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/7rJZLzwA5a
